ALIAS,,Zone4ASafetyExpansionMonitorStatus,"","","OBCP:2:I.Pt06Status","(RADIX := Decimal, ExternalAccess := Read/Write)"
TAG,,Zone4B,"","SafetyZone","","(Class := Safety, Constant := false, ExternalAccess := Read/Write)"
ALIAS,,Zone4BExpansionUnitStatus,"","","OBCP:6:I.Pt06OutputStatus","(RADIX := Decimal, ExternalAccess := Read/Write)"
TAG,,Zone4BResetFromRestart,"Mapped from Restart Pushbutton in Non-Safety Program","BOOL","","(Class := Safety, RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
ALIAS,,Zone4BSafetyExpansion1,"","","OBCP:6:O.Pt06Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone4BSafetyExpansion2,"","","OBCP:6:O.Pt07Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone4BSafetyExpansionMonitor,"","","OBCP:2:I.Pt07Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone4BSafetyExpansionMonitorStatus,"","","OBCP:2:I.Pt07Status","(RADIX := Decimal, ExternalAccess := Read/Write)"
TAG,,Zone5A,"","SafetyZone","","(Class := Safety, Constant := false, ExternalAccess := Read/Write)"
ALIAS,,Zone5AExpansionUnitStatus,"","","OBCP:7:I.Pt00OutputStatus","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone5ASafetyExpansion1,"","","OBCP:7:O.Pt00Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone5ASafetyExpansion2,"","","OBCP:7:O.Pt01Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone5ASafetyExpansionMonitor,"","","OBCP:3:I.Pt00Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone5ASafetyExpansionMonitorStatus,"","","OBCP:3:I.Pt00Status","(RADIX := Decimal, ExternalAccess := Read/Write)"
TAG,,Zone5B,"","SafetyZone","","(Class := Safety, Constant := false, ExternalAccess := Read/Write)"
ALIAS,,Zone5BExpansionUnitStatus,"","","OBCP:7:I.Pt02OutputStatus","(RADIX := Decimal, ExternalAccess := Read/Write)"
TAG,,Zone5BResetFromRestart,"Mapped from Restart Pushbutton in Non-Safety Program","BOOL","","(Class := Safety, RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
ALIAS,,Zone5BSafetyExpansion1,"","","OBCP:7:O.Pt02Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone5BSafetyExpansion2,"","","OBCP:7:O.Pt03Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone5BSafetyExpansionMonitor,"","","OBCP:3:I.Pt01Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone5BSafetyExpansionMonitorStatus,"","","OBCP:3:I.Pt01Status","(RADIX := Decimal, ExternalAccess := Read/Write)"
TAG,,Zone6,"","SafetyZone","","(Class := Safety, Constant := false, ExternalAccess := Read/Write)"
ALIAS,,Zone6ExpansionUnitStatus,"","","OBCP:7:I.Pt04OutputStatus","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone6SafetyExpansion1,"","","OBCP:7:O.Pt04Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone6SafetyExpansion2,"","","OBCP:7:O.Pt05Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone6SafetyExpansionMonitor,"","","OBCP:3:I.Pt02Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone6SafetyExpansionMonitorStatus,"","","OBCP:3:I.Pt02Status","(RADIX := Decimal, ExternalAccess := Read/Write)"
TAG,,Zone7,"","SafetyZone","","(Class := Safety, Constant := false, ExternalAccess := Read/Write)"
ALIAS,,Zone7ExpansionUnitStatus,"","","OBCP:7:I.Pt06OutputStatus","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone7SafetyExpansion1,"","","OBCP:7:O.Pt06Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone7SafetyExpansion2,"","","OBCP:7:O.Pt07Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone7SafetyExpansionMonitor,"","","OBCP:3:I.Pt03Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone7SafetyExpansionMonitorStatus,"","","OBCP:3:I.Pt03Status","(RADIX := Decimal, ExternalAccess := Read/Write)"
TAG,,Zone8,"","SafetyZone","","(Class := Safety, Constant := false, ExternalAccess := Read/Write)"
ALIAS,,Zone8ExpansionUnitStatus,"","","OBCP:8:I.Pt00OutputStatus","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone8SafetyExpansion1,"","","OBCP:8:O.Pt00Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone8SafetyExpansion2,"","","OBCP:8:O.Pt01Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone8SafetyExpansionMonitor,"","","OBCP:3:I.Pt04Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone8SafetyExpansionMonitorStatus,"","","OBCP:3:I.Pt04Status","(RADIX := Decimal, ExternalAccess := Read/Write)"
TAG,,Zone9,"","SafetyZone","","(Class := Safety, Constant := false, ExternalAccess := Read/Write)"
ALIAS,,Zone9ExpansionUnitStatus,"","","OBCP:8:I.Pt02OutputStatus","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone9SafetyExpansion1,"","","OBCP:8:O.Pt02Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone9SafetyExpansion2,"","","OBCP:8:O.Pt03Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone9SafetyExpansionMonitor,"","","OBCP:3:I.Pt05Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Zone9SafetyExpansionMonitorStatus,"","","OBCP:3:I.Pt05Status","(RADIX := Decimal, ExternalAccess := Read/Write)"
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,LineDrives,MainCylinder_Stanstill,"","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,LineDrives,ScaleDisplayAverageSeconds,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,LineDrives,Scale_Smoothing1,"","DriveRamp","","(Constant := false, ExternalAccess := Read/Write)"
TAG,LineDrives,test_main,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,SafetyProgram,ForceZone13,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,SafetyProgram,ForceZone14,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,SafetyProgram,ForceZone1A,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,SafetyProgram,ForceZone1B,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,SafetyProgram,ForceZone2A,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,SafetyProgram,ForceZone2B,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,SafetyProgram,ForceZone3A,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,SafetyProgram,ForceZone3B,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,SafetyProgram,ForceZone4A,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,SafetyProgram,ForceZone4B,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,SafetyProgram,ForceZone5A,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,SafetyProgram,ForceZone5B,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,DriveRamp:AOI,RampInput,"Speed Ref to be Ramped","REAL","","(RADIX := Float, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,DriveRamp:AOI,AccelSeconds,"Accel Rate (Seconds)","REAL","","(RADIX := Float, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,DriveRamp:AOI,DecelSeconds,"Decel Rate (Seconds)","REAL","","(RADIX := Float, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,DriveRamp:AOI,MaximumDriveSpeed,"Maximum Drive Speed","REAL","","(RADIX := Float, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,DriveRamp:AOI,RampedOutput,"Ramped Reference to Drive","REAL","","(RADIX := Float, Usage := Output, ExternalAccess := Read Only, Required := true, Visible := true)"
TAG,DriveRamp:AOI,AllowRamp,"","BOOL","","(RADIX := Decimal, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,DriveRamp:AOI,SCRV_01,"","S_CURVE","","(Usage := Local, ExternalAccess := Read/Write)"
TAG,DriveRamp:AOI,DIV_01,"","FBD_MATH","","(Usage := Local, ExternalAccess := Read/Write)"
TAG,DriveRamp:AOI,DIV_02,"","FBD_MATH","","(Usage := Local, ExternalAccess := Read/Write)"
TAG,DriveRamp:AOI,BNOT_01,"","FBD_BOOLEAN_NOT","","(Usage := Local, ExternalAccess := Read/Write)"
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,JKFlipFLop:AOI,Input,"","BOOL","","(RADIX := Decimal, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,JKFlipFLop:AOI,Output,"","BOOL","","(RADIX := Decimal, Usage := Output, ExternalAccess := Read Only, Required := true, Visible := true)"
TAG,JKFlipFLop:AOI,Clear,"","BOOL","","(RADIX := Decimal, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,JKFlipFLop:AOI,JKFF_01,"","FLIP_FLOP_JK","","(Usage := Local, ExternalAccess := Read/Write)"
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,LadderScale:AOI,RawInput,"Raw Data to be Scaled","REAL","","(RADIX := Float, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,LadderScale:AOI,InputMin,"Minimum Expected Raw Input","REAL","","(RADIX := Float, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,LadderScale:AOI,InputMax,"Maximum Expected Raw Output","REAL","","(RADIX := Float, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,LadderScale:AOI,OutputMin,"Expected Output at Min Input","REAL","","(RADIX := Float, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,LadderScale:AOI,OutputMax,"Expected Output at Max Input","REAL","","(RADIX := Float, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,LadderScale:AOI,ScaledOutput,"Scaled Value","REAL","","(RADIX := Float, Usage := Output, ExternalAccess := Read Only, Required := true, Visible := true)"
TAG,LadderScale:AOI,Clamp,"Clamps Value at Output Min/Max","BOOL","","(RADIX := Decimal, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,LadderScale:AOI,SCL_01,"","SCALE","","(Usage := Local, ExternalAccess := Read/Write)"
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,LineSpeedRamp:AOI,NormalAccel,"Accel Rate for Normal Ramp","REAL","","(RADIX := Float, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,LineSpeedRamp:AOI,NormalDecel,"Decel Rate for Normal Ramp","REAL","","(RADIX := Float, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,LineSpeedRamp:AOI,MaximumSpeed,"Maximum Line Speed","REAL","","(RADIX := Float, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,LineSpeedRamp:AOI,EStopDecel,"Decel Rate for E-Stop Ramping","REAL","","(RADIX := Float, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,LineSpeedRamp:AOI,RampEnable,"Enables Reference Ramp","BOOL","","(RADIX := Decimal, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,LineSpeedRamp:AOI,AtZeroSpeed,"Ramp has Decelerated to Zero","BOOL","","(RADIX := Decimal, Usage := Output, ExternalAccess := Read Only, Required := true, Visible := true)"
TAG,LineSpeedRamp:AOI,PreRampReference,"Reference Sent to be Ramped","REAL","","(RADIX := Float, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,LineSpeedRamp:AOI,RampedReference,"Reference out of Ramp","REAL","","(RADIX := Float, Usage := Output, ExternalAccess := Read Only, Required := true, Visible := true)"
TAG,LineSpeedRamp:AOI,EStopStatus,"E-Stop Status to Reduce Decel Time","BOOL","","(RADIX := Decimal, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,LineSpeedRamp:AOI,HoldRamp,"1-Hold Ramp at Current Rate","BOOL","","(RADIX := Decimal, Usage := Input, ExternalAccess := Read/Write, Required := true, Visible := true)"
TAG,LineSpeedRamp:AOI,DIV_02,"","FBD_MATH","","(Usage := Local, ExternalAccess := Read/Write)"
TAG,LineSpeedRamp:AOI,DIV_01,"","FBD_MATH","","(Usage := Local, ExternalAccess := Read/Write)"
TAG,LineSpeedRamp:AOI,SCRV_01,"","S_CURVE","","(Usage := Local, ExternalAccess := Read/Write)"
TAG,LineSpeedRamp:AOI,SEL_02,"","SELECT","","(Usage := Local, ExternalAccess := Read/Write)"
TAG,LineSpeedRamp:AOI,DIV_03,"","FBD_MATH","","(Usage := Local, ExternalAccess := Read/Write)"
TAG,LineSpeedRamp:AOI,SEL_01,"","SELECT","","(Usage := Local, ExternalAccess := Read/Write)"
TAG,LineSpeedRamp:AOI,LEQ_01,"","FBD_COMPARE","","(Usage := Local, ExternalAccess := Read/Write)"
TYPE,SCOPE,ROUTINE,COMMENT,OWNING_ELEMENT,LOCATION
RCOMMENT,"BlendLine","B1BlendBeater","****$NPermissive to operate the motor.$N****","OTE(B1BlenderBeater.Internal.Permissive)","0"
RCOMMENT,"BlendLine","B1BlendBeater","****$NManual Run Control$N****","OTE(B1BlenderBeater.Internal.IntermediateRunForward)","1"
RCOMMENT,"BlendLine","B1BlendBeater","****$NManual Jog Control$N****","OTE(B1BlenderBeater.Internal.IntermediateJogForward)","2"
RCOMMENT,"BlendLine","B1BlendBeater","****$NAutomatic Run Control with Start and Stop Delays.$N****","TOF(B1BlenderBeater.Internal.AutoOffDelayTimer,?,?)","3"
RCOMMENT,"BlendLine","B1BlendBeater","****$NMotor Starter Control$N****","OTE(B1BlenderBeaterCont)","4"
RCOMMENT,"BlendLine","B1BlendBeater","****$NRunning Status$N****","OTE(B1BlenderBeater.Status.RunningForward)","5"
RCOMMENT,"BlendLine","B1BlendBeater","****$NIf the motor does not start when commanded, it has failed to run$N****","OTL(B1BlenderBeater.Status.FailedToStart)","6"
RCOMMENT,"BlendLine","B1BlendBeater","****$NIf a motor continues to run when the run command has been removed,$Nit has failed to stop.$N****$N","OTL(B1BlenderBeater.Status.FailedToStop)","7"
RCOMMENT,"BlendLine","B1BlendBeater","****$NGeneral Faulted Status$N****","OTE(B1BlenderBeater.Status.Faulted)","8"
RCOMMENT,"BlendLine","B1BlendBeater","****$NReset Fault Latches$N****","OTU(B1BlenderBeater.Status.FailedToStop)","9"
RCOMMENT,"BlendLine","B1BlendControl","****$NPermissive to Operate Blend Line$N****","OTE(BlendLine.Internal.Permissive)","0"
RCOMMENT,"BlendLine","B1BlendControl","****$NCommand the blend line to weigh mode.$N****","OTU(BlendLine.Command.ToWeighMode)","2"
RCOMMENT,"BlendLine","B1BlendControl","****$NCommand the blend line to volumetric mode.$N****","OTU(BlendLine.Command.ToVolumetricMode)","3"
RCOMMENT,"BlendLine","B1BlendControl","****$NBlend Line Start$N****","TON(BlendLine.Internal.StartDelayTimer,?,?)","4"
RCOMMENT,"BlendLine","B1BlendControl","****$NThis horn should let the operators know if there has been a problem that shut down the blending.$N****","OTL(BlendingAlarmHornLatch)","5"
RCOMMENT,"BlendLine","B1BlendControl","****$NReset alarm$N****","OTU(BlendingAlarmHornLatch)","6"
RCOMMENT,"BlendLine","B1BlendControl","****$NThe blend line must be running for an amount of time$Nbefore the low level alarms will be active.$N****","TON(FS5XLowAlarmDelay,?,?)","7"
RCOMMENT,"BlendLine","B1BlendControl","****$NDebounce for the PE$N****","TOF(FS51LowPEStateTOF,?,?)","8"
RCOMMENT,"BlendLine","B1BlendControl","****$NDebounce for the PE$N****","TOF(FS52LowPEStateTOF,?,?)","9"
RCOMMENT,"BlendLine","B1BlendControl","****$NOnce the startup delay time has passed, the lower PEs are used$Nto determine when the silo is low.$N****","TON(FS51FiberLowAlarmTimer,?,?)","10"
RCOMMENT,"BlendLine","B1BlendControl","****$NOnce the startup delay time has passed, the lower PEs are used$Nto determine when the silo is low.$N****","TON(FS52FiberLowAlarmTimer,?,?)","11"
RCOMMENT,"BlendLine","B1BlendControl","****$NIf either silo is low, latch the alarm.$N****","OTL(FS5XLowFiberAlarmLatch)","12"
RCOMMENT,"BlendLine","B1BlendControl","****$NReset the alarm.$N****$NNOTE:  The reset also resets the startup timer above.","OTU(FS5XLowFiberAlarmLatch)","13"
RCOMMENT,"BlendLine","B1BlendControl","****$NThis timer is a cycling timer active when the alarm latch is on.$NThe .acc value is used below to fire the horn.$N****","TON(LowFiberHornTimer,?,?)","14"
RCOMMENT,"BlendLine","B1BlendControl","****$NTimer for horn sequence.$N****","TON(BlendAlarmHornTimer,?,?)","15"
RCOMMENT,"BlendLine","B1BlendControl","****$NActual Horn Output$N****","OTE(BlendingAlarmHorn)","16"
RCOMMENT,"BlendLine","B1BlendControl","****$NOnce the start delay timer is done, the blend line is in run mode.$N****","OTE(BlendLine.Status.Running)","17"
RCOMMENT,"BlendLine","B1BlendControl","****$NFlash the pilot light while the line is starting and solid when running.$N****","OTE(BlendSystemStartPL)","18"
RCOMMENT,"BlendLine","B1BlendControl","****$NSound the start horn when starting.$N****","OTE(BlendLineStartHorn)","19"
RCOMMENT,"BlendLine","B1BlendControl","****$NThe blend system will either receive a call from the CFX (if the fine opener is bypassed)$Nor from the Fine Opener (if it is inline).$N****","OTE(BlendLine.Internal.CallForFiber)","20"
RCOMMENT,"BlendLine","B1BlendControl","****$NIf the conveyor is set up to run the normal index, the fiber may pile up too high.$NThe solution is to have an index that is half the normal index lenght.  When it is enabled$Nfrom the HMI, the IndexSteps value changes.$N****","OTE(BlendLine.Status.HalfLengthEnabled)","21"
RCOMMENT,"BlendLine","B1BlendControl","****$NDelete rung if the half length setpoint is to be entered instead of calculated.$N****","DIV(BlendLine.Command.NormalLengthSteps,2,BlendLine.Command.HalfLengthSteps)","22"
RCOMMENT,"BlendLine","B1BlendControl","****$NThe normal index was determined to be 112 pulses.$NThe half length therefore is 56.$N****","MOV(BlendLine.Command.HalfLengthSteps,BlendLine.Internal.IndexSteps)","23"
RCOMMENT,"BlendLine","B1BlendControl","****$NThe normal index was determined to be 112 pulses.$NThe half length therefore is 56.$N****","MOV(BlendLine.Command.NormalLengthSteps,BlendLine.Internal.IndexSteps)","24"
RCOMMENT,"BlendLine","B1BlendControl","****$NCount the pulses to determine when the conveyor has indexed to the$Nnext station.$N****$NThe Index Step Normal at startup was 58.$N******","MOV(0,BlendLine.Status.PulseCount)","25"
RCOMMENT,"BlendLine","B1BlendControl","****$NUnlatch the index complete bit when the dump is complete.$N****","OTU(BlendLine.Status.BlendConveyorIndexComplete)","26"
RCOMMENT,"BlendLine","B1BlendControl","****$NWhen all the enabled hoppers have reached setpoint and the conveyor is at the index point dump the hoppers.$N****","OTL(BlendLine.Internal.DumpCommand)","27"
RCOMMENT,"BlendLine","B1BlendControl","****$NThe dump command should stay active for an amount of time$Nand then shut itself off.$N****","OTL(BlendLine.Status.SystemDumpComplete)","28"
RCOMMENT,"BlendLine","B1BlendControl","****$NBecause the vibration of closing the dump doors may cause a weight setpoint reached$Nbit to be latched, the timer is added to unlatch that bit for a time after the door$Nhas closed.$N****","TON(DumpCompleteTimer,?,?)","30"
RCOMMENT,"BlendLine","B1BlendControl","****$NWhen the dump complete is set, the dump closes and after a delay, the doors open.$N****","TOF(BlendLine.Internal.OpenDoorTimer,?,?)","31"
RCOMMENT,"BlendLine","B1BlendControl","****$NAfter the hoppers dump their fiber index the conveyor.$N****","OTL(BlendLine.Internal.IndexConveyor)","32"
RCOMMENT,"BlendLine","B1BlendControl","****$NUnlatch the conveyor index command.$N****","OTU(BlendLine.Internal.IndexConveyor)","33"
RCOMMENT,"BlendLine","B1BlendControl","****$NCall for the motor to run based on the control mode.$N****","OTE(BlendLine.Internal.RunBlendConveyor)","34"
RCOMMENT,"BlendLine","B1BlendControl","****$NCall for the motor to run based on the control mode.$N****","OTE(BlendLine.Internal.RunBlendBeater)","35"
RCOMMENT,"BlendLine","B1BlendControl","****$NCall for the motor to run based on the control mode.$N****","OTE(BlendLine.Internal.RunBlendDeliveryFan)","36"
RCOMMENT,"BlendLine","B1BlendControl","****$NThe RunLiftAprons bit is used in the individual hopper routines to control$Ntheir lift aprons.$N****","OTE(BlendLine.Internal.RunLiftAprons)","37"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NPermissive to operate the motor.$N****","OTE(B1BlendConveyor.Internal.Permissive)","0"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NJog Command$N****","OTE(B1BlendConveyor.Internal.IntermediateJog)","1"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NHold in the reverse command until the drive returns to stopped state.$N****","OTE(B1BlendConveyor.Internal.DriveReverse)","2"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NIf the line is in maintenance mode, the drive may be started and stopped$Nindividually.$N****","OTE(B1BlendConveyor.Internal.MaintModeRun)","3"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NAutomatic Run Control with Start and Stop Delays.$N****","TOF(B1BlendConveyor.Internal.AutoOffDelayTimer,?,?)","4"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NMotor Starter Control$N****","OTE(B1BlendConveyor.Internal.ReleaseRamp)","5"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NThe commanded speed is based on the operating mode of the blend line.$N****","MOV(B1BlendConveyor.Internal.DecelTime,B1BlendConveyor.Internal.DecelTime)","6"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NThe drive ramp will ramp the drive speed reference.$NThe scale will scale the reference from engineering units to a raw value$Nfor the analog output.$N****","MOV(B1BlendConveyor.Internal.SpeedReference.ScaledOutput,B1BlendConveyor:O.FreqCommand)","7"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NWhen the ramp is outputting a signal that is greater than 0, start the drive.$NAll the interlocking is done above the ramp.$N****","OTE(B1BlendConveyor:O.Start)","8"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NIf the drive is not being told to start, it should be told to stop.$N****","OTE(B1BlendConveyor:O.Stop)","9"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NThe reverse command is set above.$N****","OTE(B1BlendConveyor:O.Reverse)","10"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NIf the drive is not being told to reverse, it should be told to go forward.$N****","OTE(B1BlendConveyor:O.Forward)","11"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NScale the raw signal coming from the drive$Nto engineering units for display on the HMI.$N****","MOV(B1BlendConveyor.Internal.ActualSpeedScaler.ScaledOutput,B1BlendConveyor.Status.ActualSpeed)","12"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NScale the raw signal coming from the drive$Nto engineering units for display on the HMI.$N****","MOV(B1BlendConveyor.Internal.LoadScaler.ScaledOutput,B1BlendConveyor.Status.MotorLoad)","13"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NDrive Running Status$N****","OTE(B1BlendConveyor.Status.Running)","14"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NJogging Forward Status$N****","OTE(B1BlendConveyor.Status.JoggingFwd)","15"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NJogging Reverse Status$N****","OTE(B1BlendConveyor.Status.JoggingRev)","16"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NWhen the drive is running, the prox should be pulsing.  If it does not$Npulse, the belt is stuck.$N****","TON(ConveyorMovingTmr1,?,?)","17"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NWhen the drive is running, the prox should be pulsing.  If it does not$Npulse, the belt is stuck.$N****","TON(ConveyorMovingTmr2,?,?)","18"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NIf either of the two timers get done, the belt has failed to move.$N****","OTL(B1BlendConveyorFailedToMove)","19"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NReset the alarm.$N****","OTU(B1BlendConveyorFailedToMove)","20"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NIf the drive is being told to run but does not after a certain time$Nit has failed to start.$N****","OTL(B1BlendConveyor.Status.FailedToStart)","21"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NIf the drive runs when it is not being told to, it has failed to stop.$N****","OTL(B1BlendConveyor.Status.FailedToStop)","22"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NDrive Faulted Status$NThe faulted status is in the permissive and will stop the drive.$N****","OTL(B1BlendConveyor.Status.Faulted)","23"
RCOMMENT,"BlendLine","B1BlendConveyor","****$NUnlatch the Drive Faulted Status$N****","OTU(B1BlendConveyor.Status.FailedToStop)","24"
RCOMMENT,"BlendLine","B1BlendTransportFan","****$NPermissive to operate the motor.$N****","OTE(B1BlendTransportFan.Internal.Permissive)","0"
RCOMMENT,"BlendLine","B1BlendTransportFan","****$NJog Command$N****","OTE(B1BlendTransportFan.Internal.IntermediateJog)","1"
RCOMMENT,"BlendLine","B1BlendTransportFan","****$NHold in the reverse command until the drive returns to stopped state.$N****","OTE(B1BlendTransportFan.Internal.DriveReverse)","2"
RCOMMENT,"BlendLine","B1BlendTransportFan","****$NIf the line is in maintenance mode, the drive may be started and stopped$Nindividually.$N****","OTE(B1BlendTransportFan.Internal.MaintModeRun)","3"
RCOMMENT,"BlendLine","B1BlendTransportFan","****$NAutomatic Run Control with Start and Stop Delays.$N****","TOF(B1BlendTransportFan.Internal.AutoOffDelayTimer,?,?)","4"
RCOMMENT,"BlendLine","B1BlendTransportFan","****$NMotor Starter Control$N****","OTE(B1BlendTransportFan.Internal.ReleaseRamp)","5"
RCOMMENT,"BlendLine","B1BlendTransportFan","****$NThe commanded speed is based on the operating mode of the blend line.$N****","MOV(B1BlendTransportFan.Internal.DecelTime,B1BlendTransportFan.Internal.DecelTime)","6"
RCOMMENT,"BlendLine","B1BlendTransportFan","****$NThe drive ramp will ramp the drive speed reference.$NThe scale will scale the reference from engineering units to a raw value$Nfor the analog output.$N****","MOV(B1BlendTransportFan.Internal.SpeedReference.ScaledOutput,B1BlendTransportFan:O.FreqCommand)","7"
RCOMMENT,"BlendLine","B1BlendTransportFan","****$NWhen the ramp is outputting a signal that is greater than 0, start the drive.$NAll the interlocking is done above the ramp.$N****","OTE(B1BlendTransportFan:O.Start)","8"
RCOMMENT,"BlendLine","B1BlendTransportFan","****$NIf the drive is not being told to start, it should be told to stop.$N****","OTE(B1BlendTransportFan:O.Stop)","9"
